Date,Close,High,Low,Open,Volume,Ticker
2020-08-24,122.4238052368164,125.27144139309637,120.55618920034888,125.18631969643549,345937600,AAPL
2020-08-25,121.41949462890625,121.76481270817138,119.6953532443396,121.29547815768062,211495600,AAPL
2020-08-26,123.07069396972656,123.52787254916589,121.66997788314622,122.73753929165063,163022400,AAPL
2020-08-27,121.59947204589844,124.00694746886145,120.45409132553128,123.67379276102072,155552400,AAPL
2020-08-28,121.4024887084961,122.99287708889368,121.17876033216808,122.57460810630094,187630000,AAPL
2020-08-31,125.5195083618164,127.42604193210997,122.56245254538821,124.09934857269191,225702700,AAPL
2020-09-01,130.5192413330078,131.12233634201255,126.9688280058111,129.13798411269457,151948100,AAPL
2020-09-02,127.81509399414062,134.21557794835164,123.53514224699033,133.836218656411,200119000,AAPL
2020-09-03,117.58211517333984,125.32494732420406,117.21248511185603,123.44760925137419,257599600,AAPL
2020-09-04,117.65994262695312,120.32518728542867,107.86467480854796,116.79422439020836,332607200,AAPL
2020-09-08,109.74202728271484,115.74369462203643,109.60584737773415,110.84119577898701,231366600,AAPL
2020-09-09,114.11925506591797,115.88960121264321,112.11545871886855,114.06089437114895,176940500,AAPL
2020-09-10,110.39374542236328,117.21249954875044,109.43075684011971,117.07631964504925,182274400,AAPL
2020-09-11,108.94438934326172,112.08627097984936,106.9989538192749,111.44427369473487,180860300,AAPL
2020-09-14,112.21272277832031,112.76717161154352,109.72256765665087,111.59018399790295,140150100,AAPL
2020-09-15,112.38780975341797,115.58805204226122,110.51046419860256,115.10169316714062,184642000,AAPL
2020-09-16,109.07084655761719,112.83526719517445,108.98330551595791,112.08627773862457,154679000,AAPL
2020-09-17,107.32965850830078,109.13891387317258,105.74413146112666,106.72657833417449,178011000,AAPL
2020-09-18,103.92516326904297,107.85494396114845,103.19562493954624,107.38804358616923,287104900,AAPL
2020-09-21,107.07677459716797,107.18377414626174,100.28720125318382,101.68791722586771,195713800,AAPL
2020-09-22,108.75957489013672,109.78093154907663,106.18187865602258,109.60584204815116,183055400,AAPL
2020-09-23,104.19754028320312,109.05140034753937,103.8570830937395,108.574770672038,150718700,AAPL
2020-09-24,105.26751708984375,107.24213295365429,102.13536471776598,102.30072495573343,167743300,AAPL
2020-09-25,109.21676635742188,109.37240478609057,104.73253617357567,105.47180386725442,149981400,AAPL
2020-09-28,111.82363891601562,112.17381792247089,109.70311378636897,111.87227777517529,137672400,AAPL
2020-09-29,110.97737884521484,112.16409584063497,110.47156881534237,111.42483559860969,99382200,AAPL
2020-09-30,112.65045928955078,114.06090471815105,110.52021210350766,110.68557236785257,142675200,AAPL
2020-10-01,113.60369873046875,114.50832646966064,112.66989064827823,114.43050727416637,116120400,AAPL
2020-10-02,109.93655395507812,112.22244654459766,109.15838422824464,109.81010332254509,144712000,AAPL
2020-10-05,113.32162475585938,113.46753391146844,110.4521101876222,110.80228919258478,106243800,AAPL
2020-10-06,110.07272338867188,112.95196649499722,109.18754684094803,112.54341947691526,161498200,AAPL
